Object Number,Department: ,Collection,Named Collection,Simple Name: (Collection Details)/Object Name/Object Name: (Classification),Full Name: (Collection Details),Extent: (ISAD(G) Identity Statement),Physical Description: (Collection Details),Physical/Technical/Physical/ Technical: (Conditions of Access and Use),Extent: (Physical Details)/Extent and Medium: (ISAD(G) Identity Statement),Scope and Content: (Archival Description)/Scope and Content: (Content and Structure),Geographic Name: (Names),Unit Date: (Unit Details)/Date(s): (ISAD(G) Identity Statement),Physical Description: (Physical Details),Place Details: (Production Place),Associated Date: (Content Details)/Production Date: (Production Dates),Site Name: (Code / Name)/Site Name: (Collection Details),Sites: (Subject Details)/Locality: (Locality Details),Place Details: (Production Place duplicate),Main Title: (Title Details)/Title: (Object Details),Artist's Name: (Artist Details),Taxon: (Content Details)/Taxon: (Taxonomic Details),Age: (Specimen)
2001/291/1/2/I/139,Bristol Record Office,British Empire & Commonwealth,Lang Brown,,David Pasteur and George Webb climb Mount Speke,1 slide,,colour,,"Mountaineers David Pasteur (a District Officer of the Overseas Civil Service) and George Webb (Assistant District Officer) climb the final 1000 feet (300 metres) to the summit of Mount Speke in the Rwenzori (Ruwenzori) Mountains. West Uganda, 26 December 1956. Original caption: DP & GHW on Speke, 26.12.56 Later caption: Boxing Day 1956 David Pasteur And George Web on the last 1000ft of Mt. Speke.",Uganda,1956,,,,,,,,,,
2003/071/1/1/2/31,Bristol Record Office,British Empire & Commonwealth,Sitwell,,"'The Point', Myanmar",1 photograph,,"1 sepia photograph, extracted from album and mounted on card",,"A view of the projecting spit of land, 'The Point', and the Gulf of Bengal, Sittwe. Original manuscript caption: The Point, Akyab",Burma Myanmar,c. 1895,,,,,,,,,,
12631/6,Bristol Record Office,Bristol Record Office,,,"Ration books: Muriel M Thomas and Olive L Thomas of 4, The Paragon, Bristol",,"Ration books: Muriel M Thomas and Olive L Thomas of 4, The Paragon, Bristol",,,,,,,,1944-1948,,,,,,,
P.St JB/Chw/7/a,Bristol Record Office,Bristol Record Office,,,A scrapbook of documents (original mss) with various notes and transcriptions: bill of Edmond Hancockes of Lichfield,,"Page 21, item 3 : A scrapbook of documents (original mss) with various notes and transcriptions: bill of Edmond Hancockes of Lichfield",,,,,,,,nd [16th century],,,,,,,
43099/2/18,Bristol Record Office,Bristol Record Office,,,,,,,,,,,,,,,,,,,,
43207/36/9/2/5,Bristol Record Office,Bristol Record Office,,,,,"Copy photograph of the 7th Bristol (Christ Church Clifton) Scout Troop in the garden of Christ Church vicarage, nd [1910]",,,,,,,,,,,,,,,
43207/36/9/2/12,Bristol Record Office,Bristol Record Office,,,,,"LOOK AT ME, I'm updated!!! ... Photos of scouts in the ruins of St Peter's",,,,,,,,,,,,,,,
BRO 43207/34/1/77,Bristol Record Office,Bristol Record Office,,,,,,,,,,,,,,,,,,,,
43207/35/1/13,Bristol Record Office,Bristol Record Office,,,,,"Postcard of A D Collard’s shop, North Street Bedminster, nd",,,,,,,,,,,,,,,
2003/222/1/1/36,Bristol Record Office,British Empire & Commonwealth,Forster,,"General View, Khartoum",1 postcard,,1 b/w postcard slotted into photograph pocket on page.,,"Printed caption reads: 'General View, Khartoum. Published by G N Morhig, The English Pharmacy, Khartoum. Copyright 207'. View of Khartoum with buildings stretching to the horizon.",Sudan,[c.1906],,,,,,,,,,
