"2005/078/1","Elliott","Egypt","Aden","Yemen","Kenya","Somalia","Jubaland","default","default","default","default","File","Photograph Album","The images in this album depict Francis Elliott's life in East Africa in the run up to World War 1. There are photographs of the interior and exterior of his house in Kismayu, Somalia, and of his shamba in Nairobi. There are also images of fellow Europeans in both Somalia and Kenya, some of them colleagues from the Police or King's African Rifles. There are several sections of the album showing the ""Police lines"" (HQ) in Somalia where Elliott worked, and group photographs of the Somalian police troops for whom he was responsible. A number of the images are taken in Kenya, and again show police work and group shots. A section of photographs depict police troops en route for the Anglo-Somali war, or so-called ""Mad Mullah campaign.""

There are numerous images of the Somali countryside, particularly around the River Juba, showing police on their manouevres but also glimpses of local people, including an Ogaden Chief, and their customs. The album also contains a number of ""tourist"" shots, featuring Lamu, Aden, Port Said and Suez. A section towards the end of the album contains a number of hunting photographs taken on safari.

The photographs are not dated, and do not appear to have been inserted in chronological order as sections depicting the same events or subjects have in several cases been split.

N.B. There is a potentially distressing image of a hanging on page 28.","c. 1910","1 volume","1 bound volume containing 64 pages of b/w (with a few sepia) photographs glued on to the pages. Manuscript caption for almost all photographs. Back cover of volume has become detached.","BEC 2005-078 ELLIOT [BC].tif","[Copyright] Bristol Record Office","204375"
"2005/078/1/1","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali police recruits enlisted at Kismayu","Somali police troops lined up at arms

Original manuscript caption: Somali recruits enlisted at Kismayu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-1[v2].tif","[Copyright] Bristol Record Office","204473"
"2005/078/1/10","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","A Nairobi Street","View of tree lined street with two figures

Original manuscript caption: A Nairobi Street","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-10[v2].tif","[Copyright] Bristol Record Office","204482"
"2005/078/1/100","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Captain Smith with two policemen","European man in uniform flanked by two policemen

Original manuscript caption: Capt. Smith who took over charge of the Police for me & whom I relieved lately","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-100.tif","[Copyright] Bristol Record Office","205222"
"2005/078/1/101","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police troop ship arriving at Kismayu","Figures in uniform on the deck of a ship

Original manuscript caption: Arriving at Kismayu. Some police in foreground.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-101[v2].tif","[Copyright] Bristol Record Office","205223"
"2005/078/1/102","Elliott","Jubaland","Somalia","default","default","default","default","default","default","default","default","Item","Camels, Somalia","View of houses with camels in the foreground.

Original manuscript caption: Juberland. Horses.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-102[v2].tif","[Copyright] Bristol Record Office","205224"
"2005/078/1/103","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Kismayu from Harbour","Distant shot of houses on the Somali coast seen across water

Original manuscript caption: Kismayu from Harbour","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-103[v2].tif","[Copyright] Bristol Record Office","205225"
"2005/078/1/104","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Entering Kismayu Harbour","Very distant shot of buildings from the water.

Original manuscript caption: Entering Kismayu harbour. Another steamer in distance.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-104[v2].tif","[Copyright] Bristol Record Office","205226"
"2005/078/1/105","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Birds of Prey","Distant shot of large birds

Original manuscript caption: Birds of Prey","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-105[v2].tif","[Copyright] Bristol Record Office","205227"
"2005/078/1/106","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Egrets in flight","Very distant view of birds seen across open land

Original manuscript caption: Egrets in flight","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-106[v2].tif","[Copyright] Bristol Record Office","205228"
